song,songwriter,credits,year written,year recorded,album,notes
I Saw Her Standing There,Paul,McCartney-Lennon,1962,1963,,collaborative
Misery,"John, Paul",McCartney-Lennon,1963,1963,,
Ask Me Why,John,McCartney-Lennon,1962,1962,,
Please Please Me,John,McCartney-Lennon,1962,1962,,
Love Me Do,Paul,McCartney-Lennon,1962,1962,,"""Although George Martin did not like the words much, Paul claimed them as his creation."""
P.S. I Love You,Paul,McCartney-Lennon,1962,1962,,
Do You Want To Know A Secret,John,McCartney-Lennon,？,1963,,
There's A Place,"John, Paul",McCartney-Lennon,？,1963,,
From Me To You,"John, Paul",McCartney-Lennon,1963,1963,,
Thank You Girl,"John, Paul",McCartney-Lennon,,1963,,
She Loves You,"John, Paul",Lennon-McCartney,1963,1963,,
I'll Get You,"John, Paul",Lennon-McCartney,,1963,,
I Want To Hold Your Hand,"John, Paul",Lennon-McCartney,,1963,,
This Boy,"John, Paul",Lennon-McCartney,,1963,,
It Won't Be Long,John,Lennon-McCartney,,1963,,
All I've Got To Do,John,Lennon-McCartney,,1963,,
All My Loving,Paul,Lennon-McCartney,1963,1963,,"""Sometime between May 18 and June 9, 1963, Paul wrote the lyrics for 'All My Loving,' on the bus that drove the group through the country for its third national tour, with Roy Orbison."""
Don't Bother Me,George,George Harrison,1963,1963,,
Little Child,"John, Paul",Lennon-McCartney,,1963,,
Hold Me Tight,Paul,Lennon-McCartney,,1963,,
I Wanna Be Your Man,,Lennon-McCartney,,1963,,
Not A Second Time,John,Lennon-McCartney,,1963,,"""A song totally written by John"""
A Hard Day's Night,John,Lennon-McCartney,,1964,,
I Should Have Known Better,John,Lennon-McCartney,,1964,,
If I Fell,John,Lennon-McCartney,,1964,,
I'm Happy Just To Dance With You,John,Lennon-McCartney,,1964,,
And I Love Her,Paul,Lennon-McCartney,,1964,,
Tell Me Why,John,Lennon-McCartney,,1964,,
Can't Buy Me Love,Paul,Lennon-McCartney,,1964,,
Any Time At All,John,Lennon-McCartney,,1964,,
I'll Cry Instead,John,Lennon-McCartney,,1964,,
Things We Said Today,Paul,Lennon-McCartney,,1964,,
When I Get Home,John,Lennon-McCartney,,1964,,
You Can't Do That,John,Lennon-McCartney,,1964,,
