Song,Writer(s),Original release,Producer(s),Year,Ref.
"""#9 Dream""",John Lennon,Walls and Bridges,John Lennon,1974,[22]
"""Ain't She Sweet""",Jack YellenMilton Ager,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Ain't That a Shame""",Fats DominoDave Bartholomew,Rock 'n' Roll,John Lennon,1975,[24]
"""Aisumasen (I'm Sorry)""",John Lennon,Mind Games,John Lennon,1973,[25]
"""Amsterdam"" #",John LennonYoko Ono,Wedding Album,John LennonYoko Ono,1969,[26]
"""Angel Baby""",Rosie Hamlin,Menlove Ave.,John LennonPhil Spector,1986,[27]
"""Angela"" #(with Elephant's Memory)",John LennonYoko Ono,Some Time in New York City,John LennonYoko OnoPhil Spector,1972,[28]
"""Attica State"" #(with Elephant's Memory)",John LennonYoko Ono,Some Time in New York City,John LennonYoko OnoPhil Spector,1972,[28]
"""Aü"" (live) #(with the Mothers of Invention)",John LennonYoko Ono,Some Time in New York City,John LennonYoko OnoPhil Spector,1972,[28]
"""Baby's Heartbeat"" #",John LennonYoko Ono,Unfinished Music No. 2: Life with the Lions,John LennonYoko Ono,1969,[29]
"""Be My Baby""",Phil SpectorEllie GreenwichJeff Barry,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Be-Bop-A-Lula""",Bill DavisGene Vincent,Rock 'n' Roll,John Lennon,1975,[24]
"""Beautiful Boy (Darling Boy)""  #",John Lennon,Double Fantasy,John LennonYoko OnoJack Douglas,1980,[30]
"""Beautiful Boys"" #",Yoko Ono,Double Fantasy,John LennonYoko OnoJack Douglas,1980,[30]
"""Beef Jerky""",John Lennon,Walls and Bridges,John Lennon,1974,[22]
"""Bless You""",John Lennon,Walls and Bridges,John Lennon,1974,[22]
"""Blue Suede Shoes"" (live)(Plastic Ono Band)",Carl Perkins,Live Peace in Toronto 1969,John LennonYoko Ono,1969,[31]
"""Bony Moronie""",Larry Williams,Rock 'n' Roll,Phil Spector,1975,[24]
"""Born in a Prison"" #(with Elephant's Memory)",Yoko Ono,Some Time in New York City,John LennonYoko OnoPhil Spector,1972,[28]
"""Borrowed Time""",John Lennon,Milk and Honey,John LennonYoko Ono,1984,[32]
"""Bring On the Lucie (Freda Peeple)""",John Lennon,Mind Games,John Lennon,1973,[25]
"""Cambridge 1969"" #",John LennonYoko Ono,Unfinished Music No. 2: Life with the Lions,John LennonYoko Ono,1969,[29]
"""Cleanup Time"" #",John Lennon,Double Fantasy,John LennonYoko OnoJack Douglas,1980,[30]
"""Cold Turkey""[c] (Plastic Ono Band)",John Lennon,Non-album single,John LennonYoko Ono,1969,[33]
"""Come Together""[d] (live)",John LennonPaul McCartney,Live in New York City,Yoko Ono,1986,[34]
"""Crippled Inside""",John Lennon,Imagine,John LennonYoko OnoPhil Spector,1971,[35]
"""Dear John""",John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Dear Yoko"" #",John Lennon,Double Fantasy,John LennonYoko OnoJack Douglas,1980,[30]
"""Dizzy, Miss Lizzy"" (live)(Plastic Ono Band)",Larry Williams,Live Peace in Toronto 1969,John LennonYoko Ono,1969,[31]
"""Do You Wanna Dance?""",Bobby Freeman,Rock 'n' Roll,John Lennon,1975,[24]
"""Do the Oz""",John LennonYoko Ono,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Don't Be Scared"" #",Yoko Ono,Milk and Honey,John LennonYoko Ono,1984,[32]
"""Don't Worry Kyoko""[c] (Yoko Ono and Plastic Ono Band)",Yoko Ono,Fly,John LennonYoko Ono,1971,[36]
"""Every Man Has a Woman Who Loves Him""  #",Yoko Ono,Double Fantasy,John LennonYoko OnoJack Douglas,1980,[30]
"""(Forgive Me) My Little Flower Princess"" #",John Lennon,Milk and Honey,John LennonYoko Ono,1984,[32]
"""Free as a Bird"" (demo)",John Lennon,–,–,–[e],[37]
"""Gimme Some Truth""",John Lennon,Imagine,John LennonYoko OnoPhil Spector,1971,[35]
"""Give Me Something"" #",Yoko Ono,Double Fantasy,John LennonYoko OnoJack Douglas,1980,[30]
"""Give Peace a Chance"" (Plastic Ono Band)",John LennonPaul McCartney[f],Non-album single,John LennonYoko Ono,1969,[39]
"""God""",John Lennon,John Lennon/Plastic Ono Band,John LennonYoko OnoPhil Spector,1970,[40]
"""God Save Oz""",John LennonYoko Ono,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Going Down on Love""",John Lennon,Walls and Bridges,John Lennon,1974,[22]
"""Goodnight Vienna""",John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""The Great Wok""",John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Grow Old with Me"" #",John Lennon,Milk and Honey,John LennonYoko Ono,1984,[32]
"""Happy Xmas (War Is Over)"" (John & Yoko/Plastic Ono Band with the Harlem Community Choir)",John LennonYoko Ono,Non-album single,Phil SpectorJohn LennonYoko Ono,1971,[41]
"""Hard Times are Over"" #",Yoko Ono,Double Fantasy,John LennonYoko OnoJack Douglas,1980,[30]
"""Help Me to Help Myself"" #",John Lennon,Double Fantasy (2000 reissue),John LennonYoko OnoJack Douglas,2000,[42]
"""Here We Go Again""",John LennonPhil Spector,Menlove Ave.,John LennonPhil Spector,1986,[27]
"""Hold On""",John Lennon,John Lennon/Plastic Ono Band,John LennonYoko OnoPhil Spector,1970,[40]
"""Honey Don't""",Carl Perkins,John Lennon Signature Box,–,2010,[43]
"""Hound Dog"" (live)",Jerry LeiberMike Stoller,Live in New York City,Yoko Ono,1986,[34]
"""How?""",John Lennon,Imagine,John LennonYoko OnoPhil Spector,1971,[35]
"""How Do You Sleep?""",John Lennon,Imagine,John LennonYoko OnoPhil Spector,1971,[35]
"""I Don't Wanna Be a Soldier Mama""",John Lennon,Imagine,John LennonYoko OnoPhil Spector,1971,[35]
"""I Don't Wanna Face It"" #",John Lennon,Milk and Honey,John LennonYoko Ono,1984,[32]
"""I Found Out""",John Lennon,John Lennon/Plastic Ono Band,John LennonYoko OnoPhil Spector,1970,[40]
"""I Know (I Know)""",John Lennon,Mind Games,John Lennon,1973,[25]
"""I Saw Her Standing There""[d] (live)",John LennonPaul McCartney,Lennon,–,1990,[44]
"""I'm Losing You"" #",John Lennon,Double Fantasy,John LennonYoko OnoJack Douglas,1980,[30]
"""I'm Moving On"" #",Yoko Ono,Double Fantasy,John LennonYoko OnoJack Douglas,1980,[30]
"""I'm Stepping Out""  #",John Lennon,Milk and Honey,John LennonYoko Ono,1984,[32]
"""I'm the Greatest""",John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""I'm Your Angel"" #",Yoko Ono,Double Fantasy,John LennonYoko OnoJack Douglas,1980,[30]
"""Imagine""",John LennonYoko Ono[g],Imagine,John LennonYoko OnoPhil Spector,1971,[35]
"""Instant Karma!""",John Lennon,Non-album single,Phil Spector,1970,[46]
"""India, India""",John Lennon,John Lennon Signature Box,–,2010,[43]
"""Intuition""",John Lennon,Mind Games,John Lennon,1973,[25]
"""Isolation""",John Lennon,John Lennon/Plastic Ono Band,John LennonYoko OnoPhil Spector,1970,[40]
"""It's Real""",John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""It's So Hard""",John Lennon,Imagine,John LennonYoko OnoPhil Spector,1971,[35]
"""Jamrag"" (live) #(with the Mothers of Invention)",John LennonYoko Ono,Some Time in New York City,John LennonYoko OnoPhil Spector,1972,[28]
"""Jealous Guy""",John Lennon,Imagine,John LennonYoko OnoPhil Spector,1971,[35]
"""John & Yoko"" #",John LennonYoko Ono,Wedding Album,John LennonYoko Ono,1969,[26]
"""John Sinclair"" #(with Elephant's Memory)",John Lennon,Some Time in New York City,John LennonYoko OnoPhil Spector,1972,[28]
"""Just Because""",Lloyd Price,Rock 'n' Roll,Phil Spector,1975,[24]
"""(Just Like) Starting Over""  #",John Lennon,Double Fantasy,John LennonYoko OnoJack Douglas,1980,[30]
"""A Kiss Is Just a Kiss""",Herman Hupfeld,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Kiss Kiss Kiss"" #",Yoko Ono,Double Fantasy,John LennonYoko OnoJack Douglas,1980,[30]
"""Let Me Count the Ways"" #",Yoko Ono,Milk and Honey,John LennonYoko Ono,1984,[32]
"""Life Begins at 40""",John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Long Lost John""",Traditionalarr. John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Look at Me""",John Lennon,John Lennon/Plastic Ono Band,John LennonYoko OnoPhil Spector,1970,[40]
"""Love""",John Lennon,John Lennon/Plastic Ono Band,John LennonYoko OnoPhil Spector,1970,[40]
"""The Luck of the Irish"" #(with Elephant's Memory)",John LennonYoko Ono,Some Time in New York City,John LennonYoko OnoPhil Spector,1972,[28]
"""Lucy in the Sky with Diamonds""[d] (live)",John LennonPaul McCartney,Lennon,–,1990,[44]
"""Maggie Mae""",Traditional arr.John LennonPaul McCartneyGeorge HarrisonRingo Starr,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Meat City""",John Lennon,Mind Games,John Lennon,1973,[25]
"""Medley: Bring It on Home to Me/Send Me Some Lovin'""",Sam CookeJohn MarascalcoLeo Price,Rock 'n' Roll,John Lennon,1975,[24]
"""Medley: Rip It Up/Ready Teddy""",Robert BlackwellJohn Marascalco,Rock 'n' Roll,John Lennon,1975,[24]
"""Mind Games""",John Lennon,Mind Games,John Lennon,1973,[25]
"""Money (That's What I Want)"" (live)(Plastic Ono Band)",Janie BradfordBerry Gordy,Live Peace in Toronto 1969,John LennonYoko Ono,1969,[31]
"""Mother""",John Lennon,John Lennon/Plastic Ono Band,John LennonYoko OnoPhil Spector,1970,[40]
"""Move Over Ms. L""",John Lennon,"Non-album single(B-side to ""Stand by Me"")",John Lennon,1975,[47]
"""Mr. Hyde's Gone (Don't Be Afraid)""",John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Mucho Mungo""",John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""My Baby Left Me""",Arthur Crudup,Menlove Ave.,John LennonPhil Spector,1986,[27]
"""My Life""",John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""My Mummy's Dead""",John Lennon,John Lennon/Plastic Ono Band,John LennonYoko OnoPhil Spector,1970,[40]
"""New York City"" #(with Elephant's Memory)",John Lennon,Some Time in New York City,John LennonYoko OnoPhil Spector,1972,[28]
"""No Bed for Beatle John"" #",John LennonYoko Ono,Unfinished Music No. 2: Life with the Lions,John LennonYoko Ono,1969,[29]
"""Nobody Loves You (When You're Down and Out)""",John Lennon,Walls and Bridges,John Lennon,1974,[22]
"""Nobody Told Me""  #",John Lennon,Milk and Honey,John LennonYoko Ono,1984,[32]
"""Now and Then"" (demo)",John Lennon,–,–,–[h],[37]
"""Nutopian International Anthem""[i]",John Lennon,Mind Games,John Lennon,1973,[25]
"""O' Sanity"" #",Yoko Ono,Milk and Honey,John LennonYoko Ono,1984,[32]
"""Oh My Love""",John LennonYoko Ono,Imagine,John LennonYoko OnoPhil Spector,1971,[35]
"""Oh Yoko!""",John Lennon,Imagine,John LennonYoko OnoPhil Spector,1971,[35]
"""Old Dirt Road""",John LennonHarry Nilsson,Walls and Bridges,John Lennon,1974,[22]
"""One Day (At a Time)""",John Lennon,Mind Games,John Lennon,1973,[25]
"""One of the Boys""",John Lennon,John Lennon Signature Box,–,2010,[43]
"""Only People""",John Lennon,Mind Games,John Lennon,1973,[25]
"""Only You""",Buck Ram,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Open Your Box"" (Yoko Ono/Plastic Ono Band)",Yoko Ono,"Non-album single(B-side to ""Power to the People"")",John LennonYoko Ono,1971,[49]
"""Out the Blue""",John Lennon,Mind Games,John Lennon,1973,[25]
"""Peggy Sue""",Jerry AllisonNorman PettyBuddy Holly,Rock 'n' Roll,John Lennon,1975,[24]
"""Power to the People"" (John Lennon/Plastic Ono Band)",John Lennon,Non-album single,Phil SpectorJohn LennonYoko Ono,1971,[50]
"""Radio Play"" #",John LennonYoko Ono,Unfinished Music No. 2: Life with the Lions,John LennonYoko Ono,1969,[29]
"""Real Love""",John Lennon,Imagine: John Lennon(soundtrack),John Lennon,1988,[51]
"""Remember""",John Lennon,John Lennon/Plastic Ono Band,John LennonYoko OnoPhil Spector,1970,[40]
"""The Rishi Kesh Song""",John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Rock and Roll People""",John Lennon,Menlove Ave.,John LennonPhil Spector,1986,[27]
"""Satire 1""",John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Satire 2""",John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Satire 3""",John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Scared""",John Lennon,Walls and Bridges,John Lennon,1974,[22]
"""Scumbag"" (live) #(with the Mothers of Invention)",John LennonYoko OnoFrank Zappa,Some Time in New York City,John LennonYoko OnoPhil Spector,1972,[28]
"""Serve Yourself""",John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Sisters, O Sisters""  #(with Elephant's Memory)",Yoko Ono,Some Time in New York City,John LennonYoko OnoPhil Spector,1972,[28]
"""Sleepless Night"" #",Yoko Ono,Milk and Honey,John LennonYoko Ono,1984,[32]
"""Slippin' and Slidin'""",Eddie BoAlbert CollinsLittle RichardJames Smith,Rock 'n' Roll,John Lennon,1975,[24]
"""Stand by Me""",Jerry LeiberMike StollerBen E. King,Rock 'n' Roll,John Lennon,1975,[24]
"""Steel and Glass""",John Lennon,Walls and Bridges,John Lennon,1974,[22]
"""Stranger's Room""",John Lennon,John Lennon Anthology,Yoko OnoRob Stevens,1998,[23]
"""Sunday Bloody Sunday"" #(with Elephant's Memory)",John LennonYoko Ono,Some Time in New York City,John LennonYoko OnoPhil Spector,1972,[28]
