Song,Artist,Writer(s),Original release,Year,Ref.
"""1882""",Paul McCartneyand Wings,Paul McCartneyLinda McCartney,Red Rose Speedway (Archive Collection),2018,[41]
"""222""",Paul McCartney,Paul McCartney,Memory Almost Full (2-CD edition),2007,[42]
"""3 Legs""",Paul and Linda McCartney,Paul McCartney,Ram,1971,[43]
"""4 4 4""",The Fireman,Paul McCartneyYouth,Strawberries Oceans Ships Forest,1993,[44]
"""4th of July""",Wings,Paul McCartneyLinda McCartney,Venus and Mars (Archive Collection),2014,[45]
"""7 a.m.""",The Fireman,Paul McCartneyYouth,Rushes,1998,[46]
"""About You""",Paul McCartney,Paul McCartney,Driving Rain,2001,[47]
"""Ac-Cent-Tchu-Ate the Positive""(Johnny Mercer cover)",Paul McCartney,Harold ArlenJohnny Mercer,Kisses on the Bottom,2012,[48]
"""African Yeah Yeah""",Wings,Paul McCartneyLinda McCartney,Wild Life (Archive Collection),2018,[49]
"""After the Ball/Million Miles""",Wings,Paul McCartney,Back to the Egg,1979,[50]
"""Again and Again and Again""",Wings,Denny Laine,Back to the Egg,1979,[50]
"""Ain't No Sunshine"" (live)(Bill Withers cover)",Paul McCartney,Bill Withers,Unplugged (The Official Bootleg),1991,[51]
"""Ain't That a Shame""(Fats Domino cover)",Paul McCartney,Antoine DominoDave Bartholomew,CHOBA B CCCP,1988,[52]
"""All Day""","Kanye West featuringTheophilus London, Allan Kingdom andPaul McCartney",Kanye WestPaul McCartneyVelousKendrick LamarFrench MontanaErnest BrownCydel YoungVic MensaAllan KingdomMike DeanChe PopeNoah GoldsteinAllen RitterMario WinansCharles NjapaMalik YusefPlain PatAb-LivaNoel Ellis,Non-album single,2015,[53]
"""All My Trials"" (live)",Paul McCartney,Trad. arr.Paul McCartney,Tripping the Live Fantastic: Highlights!,1990,[54]
"""All Shook Up""(Elvis Presley cover)",Paul McCartney,Otis BlackwellElvis Presley,Run Devil Run,1999,[55]
"""All You Horse Riders/Blue Sway""",Paul McCartney,Paul McCartney,McCartney II (Archive Collection),2011,[56]
