Song,Writer(s)[a],Original release,Producer(s),Year,Ref.
"""$15 Draw""",Sorrells Pickard,Beaucoups of Blues,Pete Drake,1970,[41]
"""Act Naturally""(with Buck Owens)",Johnny RussellVoni Morrison,Non-album single,Jerry CrutchfieldJim Shaw,1989,[42]
"""After All These Years""",Richard StarkeyJohnny Warman,Time Takes Time,Jeff Lynne,1992,[43]
"""Alibi""",Joe WalshRichard Starkey,Old Wave,Joe Walsh,1983,[44]
"""All by Myself""",Vini PonciaRichard Starkey,Goodnight Vienna,Richard Perry,1974,[45]
"""All in the Name of Love""",Jerry Lynn Williams,Time Takes Time,Phil Ramone,1992,[43]
"""Anthem""",Richard StarkeyGlen Ballard,Ringo 2012,Ringo Starr,2012,[46]
"""As Far as We Can Go""",Russ Ballard,Old Wave,Joe Walsh,1983,[44]
"""Attention""",Paul McCartney,Stop and Smell the Roses,Paul McCartney,1981,[47]
"""Back Off Boogaloo""[b]",Richard Starkey[c],Non-album single,George Harrison,1972,[51]
"""Bad Boy""",Lil ArmstrongAvon Long,Bad Boy,Vini Poncia,1978,[52]
"""Bamboula""",Richard StarkeyVan Dyke Parks,Postcards from Paradise,Ringo Starr,2015,[53]
"""Be My Baby""",Joe WalshRichard Starkey,Old Wave,Joe Walsh,1983,[44]
"""Beaucoups of Blues""",Buzz Rabin,Beaucoups of Blues,Pete Drake,1970,[41]
"""Better Days""",Richard StarkeyGrant MichaelsSam Hollander,What's My Name,Ringo Starr,2019,[54]
"""Blindman""",Richard Starkey,"B-side to ""Back Off Boogaloo""",George Harrison,1972,[51]
"""Blink""",Richard StarkeyMark HudsonSteve DudasDean Grakal,Ringo Rama (Deluxe edition),Mark HudsonRingo Starr,2003,[55]
"""Blue Christmas""",Bill HayesJay Johnson,I Wanna Be Santa Claus,Mark HudsonRingo Starr,1999,[56]
"""Blue, Turning Grey Over You""",Andy RazafFats Waller,Sentimental Journey,George Martin,1970,[57]
"""Boat Ride""",Roger Brown,Scouse the Mouse,Hugh Murphy,1977,[58]
"""Brandy""",Joseph B. JeffersonCharles B. Simmons,Stop and Smell the Roses (1994 reissue),Ronnie WoodRingo Starr,1994,[59]
"""Bridges""",Richard StarkeyJoe Walsh,Postcards from Paradise,Ringo Starr,2015,[53]
"""Bye Bye Blackbird""",Mort DixonRay Henderson,Sentimental Journey,George Martin,1970,[57]
"""Call Me""",Richard Starkey,Goodnight Vienna,Richard Perry,1974,[45]
"""Can She Do It Like She Dances""",Steve DuboffGerry Robinson,Ringo the 4th,Arif Mardin,1977,[60]
"""Can't Do It Wrong""",Richard StarkeyGary Burr,Y Not,Ringo StarrBruce Sugar,2010,[61]
"""The Christmas Dance""",Richard StarkeyMark HudsonJim CoxSteve Dudas,I Wanna Be Santa Claus,Mark HudsonRingo Starr,1999,[56]
"""Christmas Eve""",Richard StarkeyMark Hudson,I Wanna Be Santa Claus,Mark HudsonRingo Starr,1999,[56]
"""Christmas Time (Is Here Again)""[d]",John LennonPaul McCartneyGeorge HarrisonRichard Starkey,I Wanna Be Santa Claus,Mark HudsonRingo Starr,1999,[56]
"""Choose Love""",Richard StarkeyMark HudsonGary Burr,Choose Love,Mark HudsonRingo Starr,2005,[62]
